Name,Category,PostalCode,City,Province,Address,Latitude,Longitude
Bilodeau Canada - Fur Dealer - Bootmaker - Taxidermy …conomusÈe,museum,G8M 4H9,normandin,qc,"943, rue st-cyrille",48.83462,-72.526657
Binscarth & District Gordon Orr Memorial Museum,museum,R0J 0G0,binscarth,mb,152 second avenue binscarth manitoba r0j 0g0 canada,..,..
BiodÙme De MontrÈal,museum,H1V 1B3,montrÈal,qc,"4777, avenue pierre-de-coubertin",45.5596023,-73.5497097
Biophare,museum,J3P 3S2,sorel tracy,qc,6 rue saint-pierre sorel-tracy quÈbec j3p 3s2 canada,46.0464128,-73.1062579
BiosphËre - Environment Museum,museum,H3C 4G8,montrÈal,qc,"160, ch. du tour-de-l'isle, ile sainte-hÈlene",45.514151,-73.531559
Birdtail Country Museum,museum,R0M 0C0,birtle,mb,738 main street birtle manitoba r0m 0c0 canada,50.422182,-101.037933
Birthplace Nha/Nhl Museum,museum,K7V 1R3,renfrew,on,249 raglan st. s renfrew ontario k7v 1r3 canada,45.4712223,-76.68278815
Black Creek Pioneer Village,museum,M3J 2P3,toronto,on,1000 murray ross pkwy,43.7747704,-79.51803621
Black Watch (Royal Highland Regiment) of Canada Regimental Museum And Archives,museum,H3A 2K2,montrÈal,qc,2067 bleury st montrÈal quÈbec h3a 2k2 canada,45.507629,-73.569486
Blacksmith Shop Museum,museum,T4L 2G8,lacombe,ab,5020-49th street lacombe alberta t4l 2g8 canada,52.46397191,-113.7308632
Blacksmith Shop: Reproduction,museum,..,ottawa,on,..,45.51600206,-75.39077095
Blaine Lake Museum,museum,S0J 0J0,blaine,sk,103 railway ave. east blaine lake saskatchewan s0j 0j0 canada,52.8346008,-106.8751898
Blockhouse Museum,museum,K0G 1N0,merrickville,on,corner of st. lawrence and main streets merrickville ontario k0g 1n0 canada,..,..
Bloedel Conservatory,museum,V5Y 2M5,vancouver,bc,4600 cambie st vancouver bc v5y 2m5,49.242077,-123.113759
Bonavista Museum,museum,A0C 1B0,bonavista,nl,10 ryan's hill bonavista newfoundland & labrador a0c 1b0 canada,..,..
Bonnechere Museum,museum,K0J 1T0,eganville,on,85 bonnechere st. eganville ontario k0j 1t0 canada,45.5406362,-77.1001376
Bonnyville & District Historical Society,museum,T9N 2H4,bonnyville,ab,4401 54 ave bonnyville alberta t9n 2h4 canada,54.2712935,-110.7234435
Borden And District Museum,museum,S0K 0N0,borden,sk,box 5 borden sk s0k 0n0,52.4050653,-107.2386498
Bothwell-Zone Oil Museum,museum,N0P 1C0,bothwell,on,29785 concession zone road 7 bothwell ontario n0p 1c0 canada,42.61256943,-81.89584547
Botwood Flying Boat Museum,museum,A0H 1E0,botwood,nl,botwood airbase botwood newfoundland & labrador a0h 1e0 canada,49.15181445,-55.34081284
Boulangerie Perron - …conomusÈe De La Boulangerie,museum,G8H 2L1,roberval,qc,"637, boul. st-joseph",48.513341,-72.220467
Boundary Museum Society,museum,V0H 1H5,grand forks,bc,6145 reservoir rd grand forks british columbia v0h 1h5 canada,49.0182776,-118.5064338
Bow Habitat Station,museum,T2G 4T9,calgary,ab,1440 -17a street se calgary alberta t2g 4t9 canada,51.0421477,-114.017551
Bowden Pioneer Museum,museum,T0M 0K0,bowden,ab,2201 19 ave. bowden alberta t0m 0k0 canada,51.9322198,-114.0319358
Bowen Island Museum And Archives,museum,V0N 1G1,bowen,bc,1014 miller road bowen island british columbia v0n 1g1 canada,49.387838,-123.3325302
Boyd Heritage Museum The,museum,K0M 1A0,bobcaygeon,on,21 canal street east bobcaygeon ontario k0m 1a0 canada,44.5396859,-78.5402117
Bralorne Pioneer Museum,museum,V0K 1P0,bralorne,bc,400 hawkes ave bralorne british columbia v0k 1p0 canada,50.7716425,-122.8078588
Brant Museum And Archives/Martleville House Museum,museum,N3T 2W6,brantford,on,57 charlotte st brantford ontario n3t 2w6 canada,43.1418448,-80.26080928
Bresaylor Heritage Museum,museum,S0M 2J0,bresaylor,sk,main street bresaylor saskatchewan s0m 2j0 canada,52.12904245,-104.5240359
Breton And District Historical Museum,museum,T0C 0P0,breton,ab,4711-51st. breton alberta t0c 0p0 canada,..,..
Brett House Museum,museum,..,joe batts arm,nl,joe batts arm newfoundland & labrador canada,49.733333,-54.166667
Briercrest And District Museum Corp.,museum,S0H 0K0,briercrest,sk,400 main street briercrest saskatchewan s0h 0k0 canada,50.1649226,-105.2672582
Britannia Mining Museum,museum,V0N 1J0,britannia,bc,1 forbes way britannia beach british columbia v0n 1j0 canada,49.6237146,-123.2033875
British Columbia Aviation Museum,museum,V8L 5V5,sidney,bc,1910 norseman road sidney british columbia v8l 5v5 canada,..,..
British Columbia Orchard Industry Museum,museum,V1Y 1Z8,kelowna,bc,1304 ellis street kelowna british columbia v1y 1z8 canada,49.8916022,-119.4937517
Broadview Historical & Museum Association,museum,S0G 0K0,broadview,sk,10 north avenue broadview saskatchewan s0g 0k0 canada,50.3811582,-102.5876211
Brockville Museum,museum,K6V 6M4,brockville,on,5 henry st brockville ontario k6v 6m4 canada,44.58624815,-75.68655939
